अ,A
लु,lu
लू,loo
लृ,lri
ले,le
लै,lai
लॉ,lau
लो,lo
लौ,lou
व्,v
वँ,vUn
वं,vAn
वः,vUh
वा,vaa
वि,vi
वी,vee
वु,vu
वू,voo
वृ,vri
वे,ve
वै,vai
वॉ,vau
वो,vo
वौ,vou
श्,sh
शँ,shUn
शं,shAn
शः,shUh
शा,shaa
शि,shi
शी,shee
शु,shu
शू,shoo
शृ,shri
शे,she
शै,shai
शॉ,shau
शो,sho
शौ,shou
ष्,Sh
षँ,ShUn
षं,ShAn
षः,ShUh
षा,Shaa
षि,Shi
षी,Shee
षु,Shu
षू,Shoo
षृ,Shri
षे,She
षै,Shai
षॉ,Shau
षो,Sho
षौ,Shou
स्,s
सँ,sUn
सं,sAn
सः,sUh
सा,saa
सि,si
सी,see
सु,su
सू,soo
सृ,sri
से,se
सै,sai
सॉ,sau
सो,so
सौ,sou
ह्,h
हँ,hUn
हं,hAn
हः,hUh
हा,haa
हि,hi
ही,hee
हु,hu
हू,hoo
हृ,hri
हे,he
है,hai
हॉ,hau
हो,ho
हौ,hou
ज़्,z
ज़ँ,zUn
ज़ं,zAn
ज़ः,zUh
ज़ा,zaa
ज़ि,zi
ज़ी,zee
ज़ु,zu
ज़ू,zoo
ज़ृ,zri
ज़े,ze
ज़ै,zai
ज़ॉ,zau
ज़ो,zo
ज़ौ,zou
ड़्,RD
ड़ँ,RDUn
ड़ं,RDAn
ड़ः,RDUh
ड़ा,RDaa
ड़ि,RDi
ड़ी,RDee
ड़ु,RDu
ड़ू,RDoo
ड़ृ,RDri
ड़े,RDe
ड़ै,RDai
ड़ॉ,RDau
ड़ो,RDo
ड़ौ,RDou
फ़्,F
फ़ँ,FUn
फ़ं,FAn
फ़ः,FUh
फ़ा,Faa
फ़ि,Fi
फ़ी,Fee
फ़ु,Fu
फ़ू,Foo
फ़ृ,Fri
फ़े,Fe
फ़ै,Fai
फ़ॉ,Fau
फ़ो,Fo
फ़ौ,Fou
